id,nombre,link_json,url,status_code,ok,elapsed_ms,total_productos,tiene_productos,timestamp
909,Accesorios,/partes-y-piezas-componentes/accesorios,https://www.pcfactory.cl/categoria/partes-y-piezas-componentes/accesorios,200,True,1023,8,True,12/01/2026 08:23:10 Chile
417,Accesorios Celulares,/accesorios-y-perifericos/accesorios-celulares,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-celulares,200,True,672,80,True,12/01/2026 08:23:10 Chile
832,Accesorios Celulares,/accesorios-y-perifericos/accesorios-celulares/accesorios-celulares,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-celulares/accesorios-celulares,200,True,645,3,True,12/01/2026 08:23:10 Chile
417,Accesorios Celulares,/smartphones-y-wearables/accesorios-celulares,https://www.pcfactory.cl/categoria/smartphones-y-wearables/accesorios-celulares,200,True,757,80,True,12/01/2026 08:23:10 Chile
832,Accesorios Celulares,/smartphones-y-wearables/accesorios-celulares/accesorios-celulares,https://www.pcfactory.cl/categoria/smartphones-y-wearables/accesorios-celulares/accesorios-celulares,200,True,1043,3,True,12/01/2026 08:23:10 Chile
464,Accesorios Consolas,/accesorios-y-perifericos/accesorios-consolas,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-consolas,200,True,777,9,True,12/01/2026 08:23:10 Chile
464,Accesorios Consolas,/gamer-y-poder-grafico/accesorios-consolas,https://www.pcfactory.cl/categoria/gamer-y-poder-grafico/accesorios-consolas,200,True,615,9,True,12/01/2026 08:23:10 Chile
726,Accesorios Corte y Estampado,/impresoras-y-suministros/otros-suministros-impresion/accesorios-corte-y-estampado,https://www.pcfactory.cl/categoria/impresoras-y-suministros/otros-suministros-impresion/accesorios-corte-y-estampado,200,True,737,27,True,12/01/2026 08:23:10 Chile
427,Accesorios Cámaras,/video-fotografia-y-drones/accesorios-camaras,https://www.pcfactory.cl/categoria/video-fotografia-y-drones/accesorios-camaras,200,True,650,28,True,12/01/2026 08:23:10 Chile
427,Accesorios Cámaras,/accesorios-y-perifericos/accesorios-camaras,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-camaras,200,True,704,28,True,12/01/2026 08:23:10 Chile
704,Accesorios Cámaras de Acción,/video-fotografia-y-drones/accesorios-camaras/accesorios-camaras-de-accion,https://www.pcfactory.cl/categoria/video-fotografia-y-drones/accesorios-camaras/accesorios-camaras-de-accion,200,True,699,13,True,12/01/2026 08:23:10 Chile
704,Accesorios Cámaras de Acción,/accesorios-y-perifericos/accesorios-camaras/accesorios-camaras-de-accion,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-camaras/accesorios-camaras-de-accion,200,True,960,13,True,12/01/2026 08:23:10 Chile
908,Accesorios Desktop,/partes-y-piezas-componentes/accesorios/accesorios-desktop,https://www.pcfactory.cl/categoria/partes-y-piezas-componentes/accesorios/accesorios-desktop,200,True,815,6,True,12/01/2026 08:23:10 Chile
925,Accesorios Electrónica,/electronica-y-robotica/electronica/accesorios-electronica,https://www.pcfactory.cl/categoria/electronica-y-robotica/electronica/accesorios-electronica,200,True,606,42,True,12/01/2026 08:23:10 Chile
1057,Accesorios Impresoras 3D,/impresoras-y-suministros/impresoras-formatos-especiales/accesorios-impresoras-3d,https://www.pcfactory.cl/categoria/impresoras-y-suministros/impresoras-formatos-especiales/accesorios-impresoras-3d,200,True,763,2,True,12/01/2026 08:23:10 Chile
56,Accesorios Notebooks,/accesorios-y-perifericos/accesorios-notebooks,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-notebooks,200,True,524,89,True,12/01/2026 08:23:10 Chile
56,Accesorios Notebooks,/computadores-y-tablets/accesorios-notebooks,https://www.pcfactory.cl/categoria/computadores-y-tablets/accesorios-notebooks,200,True,641,89,True,12/01/2026 08:23:10 Chile
439,Accesorios Proyectores,/monitores-y-proyectores/accesorios-proyectores,https://www.pcfactory.cl/categoria/monitores-y-proyectores/accesorios-proyectores,200,True,491,4,True,12/01/2026 08:23:10 Chile
439,Accesorios Proyectores,/accesorios-y-perifericos/accesorios-proyectores,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-proyectores,200,True,872,4,True,12/01/2026 08:23:10 Chile
322,Accesorios Red,/conectividad-y-redes/accesorios-red,https://www.pcfactory.cl/categoria/conectividad-y-redes/accesorios-red,200,True,527,60,True,12/01/2026 08:23:10 Chile
322,Accesorios Red,/accesorios-y-perifericos/accesorios-red,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-red,200,True,686,60,True,12/01/2026 08:23:10 Chile
912,Accesorios Robótica,/electronica-y-robotica/robotica/accesorios-robotica,https://www.pcfactory.cl/categoria/electronica-y-robotica/robotica/accesorios-robotica,200,True,929,4,True,12/01/2026 08:23:10 Chile
962,Accesorios Seguridad,/hogar-y-seguridad/seguridad/accesorios-seguridad,https://www.pcfactory.cl/categoria/hogar-y-seguridad/seguridad/accesorios-seguridad,200,True,817,2,True,12/01/2026 08:23:10 Chile
962,Accesorios Seguridad,/conectividad-y-redes/seguridad/accesorios-seguridad,https://www.pcfactory.cl/categoria/conectividad-y-redes/seguridad/accesorios-seguridad,200,True,1010,2,True,12/01/2026 08:23:10 Chile
792,Accesorios TV y Video,/smart-tv-y-audio/accesorios-tv-y-video,https://www.pcfactory.cl/categoria/smart-tv-y-audio/accesorios-tv-y-video,200,True,825,41,True,12/01/2026 08:23:10 Chile
503,Accesorios Tablet,/accesorios-y-perifericos/accesorios-tablets,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-tablets,200,True,601,16,True,12/01/2026 08:23:10 Chile
503,Accesorios Tablet,/computadores-y-tablets/accesorios-tablets,https://www.pcfactory.cl/categoria/computadores-y-tablets/accesorios-tablets,200,True,536,16,True,12/01/2026 08:23:10 Chile
938,Accesorios Tabletas Digitalizadoras,/computadores-y-tablets/ilustracion-y-diseno/accesorios-tabletas-digitalizadoras,https://www.pcfactory.cl/categoria/computadores-y-tablets/ilustracion-y-diseno/accesorios-tabletas-digitalizadoras,200,True,1000,9,True,12/01/2026 08:23:10 Chile
894,Accesorios de Audio,/smart-tv-y-audio/accesorios-de-audio,https://www.pcfactory.cl/categoria/smart-tv-y-audio/accesorios-de-audio,200,True,680,6,True,12/01/2026 08:23:10 Chile
816,Accesorios de Impresoras,/impresoras-y-suministros/otros-suministros-impresion/accesorios-de-impresoras,https://www.pcfactory.cl/categoria/impresoras-y-suministros/otros-suministros-impresion/accesorios-de-impresoras,200,True,786,1,True,12/01/2026 08:23:10 Chile
400,Accesorios de Monitores,/monitores-y-proyectores/accesorios-de-monitores,https://www.pcfactory.cl/categoria/monitores-y-proyectores/accesorios-de-monitores,200,True,774,46,True,12/01/2026 08:23:10 Chile
400,Accesorios de Monitores,/accesorios-y-perifericos/accesorios-de-monitores,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-de-monitores,200,True,603,46,True,12/01/2026 08:23:10 Chile
296,Accesorios y Periféricos,/accesorios-y-perifericos,https://www.pcfactory.cl/categoria/accesorios-y-perifericos,200,True,792,574,True,12/01/2026 08:23:10 Chile
470,Access Point,/conectividad-y-redes/access-point,https://www.pcfactory.cl/categoria/conectividad-y-redes/access-point,200,True,504,6,True,12/01/2026 08:23:10 Chile
923,Actuadores,/electronica-y-robotica/electronica/actuadores,https://www.pcfactory.cl/categoria/electronica-y-robotica/electronica/actuadores,200,True,994,13,True,12/01/2026 08:23:10 Chile
346,Adaptadores Bluetooth,/smart-tv-y-audio/accesorios-de-audio/adaptadores-bluetooth,https://www.pcfactory.cl/categoria/smart-tv-y-audio/accesorios-de-audio/adaptadores-bluetooth,200,True,610,2,True,12/01/2026 08:23:10 Chile
346,Adaptadores Bluetooth,/accesorios-y-perifericos/adaptadores-y-conversores/adaptadores-bluetooth,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/adaptadores-y-conversores/adaptadores-bluetooth,200,True,795,2,True,12/01/2026 08:23:10 Chile
540,Adaptadores PC,/accesorios-y-perifericos/adaptadores-y-conversores/adaptadores-pc,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/adaptadores-y-conversores/adaptadores-pc,200,True,485,9,True,12/01/2026 08:23:10 Chile
960,Adaptadores USB C,/accesorios-y-perifericos/adaptadores-y-conversores/adaptadores-usb-c,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/adaptadores-y-conversores/adaptadores-usb-c,200,True,718,2,True,12/01/2026 08:23:10 Chile
960,Adaptadores USB C,/accesorios-y-perifericos/accesorios-notebooks/adaptadores-usb-c,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-notebooks/adaptadores-usb-c,200,True,975,2,True,12/01/2026 08:23:10 Chile
960,Adaptadores USB C,/computadores-y-tablets/accesorios-notebooks/adaptadores-usb-c,https://www.pcfactory.cl/categoria/computadores-y-tablets/accesorios-notebooks/adaptadores-usb-c,200,True,560,2,True,12/01/2026 08:23:10 Chile
537,Adaptadores y Conversores,/accesorios-y-perifericos/adaptadores-y-conversores,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/adaptadores-y-conversores,200,True,531,28,True,12/01/2026 08:23:10 Chile
628,Alarmas,/hogar-y-seguridad/seguridad/alarmas,https://www.pcfactory.cl/categoria/hogar-y-seguridad/seguridad/alarmas,200,True,929,3,True,12/01/2026 08:23:10 Chile
628,Alarmas,/conectividad-y-redes/seguridad/alarmas,https://www.pcfactory.cl/categoria/conectividad-y-redes/seguridad/alarmas,200,True,959,3,True,12/01/2026 08:23:10 Chile
999,All in One,/oficinas-y-punto-de-venta/complementos-pos/all-in-one,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/complementos-pos/all-in-one,200,True,515,11,True,12/01/2026 08:23:10 Chile
999,All in One,/computadores-y-tablets/escritorio/all-in-one,https://www.pcfactory.cl/categoria/computadores-y-tablets/escritorio/all-in-one,200,True,576,11,True,12/01/2026 08:23:10 Chile
312,Almacenamiento,/partes-y-piezas-componentes/almacenamiento,https://www.pcfactory.cl/categoria/partes-y-piezas-componentes/almacenamiento,200,True,829,63,True,12/01/2026 08:23:10 Chile
706,Almacenamiento y Discos Duros,/almacenamiento-y-discos-duros,https://www.pcfactory.cl/categoria/almacenamiento-y-discos-duros,200,True,771,66,True,12/01/2026 08:23:10 Chile
805,Antenas TV Digital,/smart-tv-y-audio/antenas-tv-digital,https://www.pcfactory.cl/categoria/smart-tv-y-audio/antenas-tv-digital,200,True,647,4,True,12/01/2026 08:23:10 Chile
590,Antivirus,/computadores-y-tablets/softwares/antivirus,https://www.pcfactory.cl/categoria/computadores-y-tablets/softwares/antivirus,200,True,776,2,True,12/01/2026 08:23:10 Chile
716,Artículos de Escritorio,/oficinas-y-punto-de-venta/oficinas/articulos-de-escritorio,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/oficinas/articulos-de-escritorio,200,True,568,8,True,12/01/2026 08:23:10 Chile
752,Asistentes de Voz,/hogar-y-seguridad/smart-home-domotica/asistentes-de-voz,https://www.pcfactory.cl/categoria/hogar-y-seguridad/smart-home-domotica/asistentes-de-voz,200,True,572,2,True,12/01/2026 08:23:10 Chile
1315,Aspiradoras de Mano,/automovil-gps-y-outdoor/automovil/aspiradoras-de-mano,https://www.pcfactory.cl/categoria/automovil-gps-y-outdoor/automovil/aspiradoras-de-mano,200,True,774,1,True,12/01/2026 08:23:10 Chile
890,Audio All in one,/smart-tv-y-audio/equipos-de-musica/audio-all-in-one,https://www.pcfactory.cl/categoria/smart-tv-y-audio/equipos-de-musica/audio-all-in-one,200,True,934,5,True,12/01/2026 08:23:10 Chile
850,Audífonos,/oficinas-y-punto-de-venta/audifonos,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/audifonos,200,True,934,73,True,12/01/2026 08:23:10 Chile
850,Audífonos,/smart-tv-y-audio/audifonos,https://www.pcfactory.cl/categoria/smart-tv-y-audio/audifonos,200,True,1016,73,True,12/01/2026 08:23:10 Chile
850,Audífonos,/accesorios-y-perifericos/audifonos,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/audifonos,200,True,765,73,True,12/01/2026 08:23:10 Chile
850,Audífonos,/smartphones-y-wearables/audifonos,https://www.pcfactory.cl/categoria/smartphones-y-wearables/audifonos,200,True,774,73,True,12/01/2026 08:23:10 Chile
850,Audífonos,/computadores-y-tablets/audifonos,https://www.pcfactory.cl/categoria/computadores-y-tablets/audifonos,200,True,837,73,True,12/01/2026 08:23:10 Chile
886,Audífonos Call Center,/oficinas-y-punto-de-venta/audifonos/audifonos-call-center,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/audifonos/audifonos-call-center,200,True,672,7,True,12/01/2026 08:23:10 Chile
886,Audífonos Call Center,/smart-tv-y-audio/audifonos/audifonos-call-center,https://www.pcfactory.cl/categoria/smart-tv-y-audio/audifonos/audifonos-call-center,200,True,699,7,True,12/01/2026 08:23:10 Chile
886,Audífonos Call Center,/accesorios-y-perifericos/audifonos/audifonos-call-center,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/audifonos/audifonos-call-center,200,True,723,7,True,12/01/2026 08:23:10 Chile
886,Audífonos Call Center,/smartphones-y-wearables/audifonos/audifonos-call-center,https://www.pcfactory.cl/categoria/smartphones-y-wearables/audifonos/audifonos-call-center,200,True,585,7,True,12/01/2026 08:23:10 Chile
886,Audífonos Call Center,/computadores-y-tablets/audifonos/audifonos-call-center,https://www.pcfactory.cl/categoria/computadores-y-tablets/audifonos/audifonos-call-center,200,True,627,7,True,12/01/2026 08:23:10 Chile
102,Audífonos Gamer,/oficinas-y-punto-de-venta/audifonos/audifonos-gamer,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/audifonos/audifonos-gamer,200,True,967,11,True,12/01/2026 08:23:10 Chile
102,Audífonos Gamer,/smart-tv-y-audio/audifonos/audifonos-gamer,https://www.pcfactory.cl/categoria/smart-tv-y-audio/audifonos/audifonos-gamer,200,True,590,11,True,12/01/2026 08:23:10 Chile
102,Audífonos Gamer,/accesorios-y-perifericos/audifonos/audifonos-gamer,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/audifonos/audifonos-gamer,200,True,573,11,True,12/01/2026 08:23:10 Chile
102,Audífonos Gamer,/smartphones-y-wearables/audifonos/audifonos-gamer,https://www.pcfactory.cl/categoria/smartphones-y-wearables/audifonos/audifonos-gamer,200,True,956,11,True,12/01/2026 08:23:10 Chile
102,Audífonos Gamer,/computadores-y-tablets/audifonos/audifonos-gamer,https://www.pcfactory.cl/categoria/computadores-y-tablets/audifonos/audifonos-gamer,200,True,788,11,True,12/01/2026 08:23:10 Chile
888,Audífonos Headset,/oficinas-y-punto-de-venta/audifonos/audifonos-headset,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/audifonos/audifonos-headset,200,True,1009,31,True,12/01/2026 08:23:10 Chile
888,Audífonos Headset,/smart-tv-y-audio/audifonos/audifonos-headset,https://www.pcfactory.cl/categoria/smart-tv-y-audio/audifonos/audifonos-headset,200,True,711,31,True,12/01/2026 08:23:10 Chile
888,Audífonos Headset,/accesorios-y-perifericos/audifonos/audifonos-headset,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/audifonos/audifonos-headset,200,True,1022,31,True,12/01/2026 08:23:10 Chile
888,Audífonos Headset,/smartphones-y-wearables/audifonos/audifonos-headset,https://www.pcfactory.cl/categoria/smartphones-y-wearables/audifonos/audifonos-headset,200,True,774,31,True,12/01/2026 08:23:10 Chile
888,Audífonos Headset,/computadores-y-tablets/audifonos/audifonos-headset,https://www.pcfactory.cl/categoria/computadores-y-tablets/audifonos/audifonos-headset,200,True,671,31,True,12/01/2026 08:23:10 Chile
884,Audífonos In Ear,/oficinas-y-punto-de-venta/audifonos/audifonos-in-ear,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/audifonos/audifonos-in-ear,200,True,718,24,True,12/01/2026 08:23:10 Chile
884,Audífonos In Ear,/smart-tv-y-audio/audifonos/audifonos-in-ear,https://www.pcfactory.cl/categoria/smart-tv-y-audio/audifonos/audifonos-in-ear,200,True,697,24,True,12/01/2026 08:23:10 Chile
884,Audífonos In Ear,/accesorios-y-perifericos/audifonos/audifonos-in-ear,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/audifonos/audifonos-in-ear,200,True,734,24,True,12/01/2026 08:23:10 Chile
884,Audífonos In Ear,/smartphones-y-wearables/audifonos/audifonos-in-ear,https://www.pcfactory.cl/categoria/smartphones-y-wearables/audifonos/audifonos-in-ear,200,True,939,24,True,12/01/2026 08:23:10 Chile
884,Audífonos In Ear,/computadores-y-tablets/audifonos/audifonos-in-ear,https://www.pcfactory.cl/categoria/computadores-y-tablets/audifonos/audifonos-in-ear,200,True,757,24,True,12/01/2026 08:23:10 Chile
1333,Automóvil,/automovil-gps-y-outdoor/automovil,https://www.pcfactory.cl/categoria/automovil-gps-y-outdoor/automovil,200,True,1009,5,True,12/01/2026 08:23:10 Chile
642,Automóvil / GPS y Outdoor,/automovil-gps-y-outdoor,https://www.pcfactory.cl/categoria/automovil-gps-y-outdoor,200,True,587,8,True,12/01/2026 08:23:10 Chile
731,Banda Ancha Móvil,/smartphones-y-wearables/banda-ancha-movil,https://www.pcfactory.cl/categoria/smartphones-y-wearables/banda-ancha-movil,200,True,597,3,True,12/01/2026 08:23:10 Chile
797,Barras de Sonido,/smart-tv-y-audio/video-audio-tv/barras-de-sonido,https://www.pcfactory.cl/categoria/smart-tv-y-audio/video-audio-tv/barras-de-sonido,200,True,558,4,True,12/01/2026 08:23:10 Chile
553,Bases Notebooks,/accesorios-y-perifericos/accesorios-notebooks/bases-notebooks,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-notebooks/bases-notebooks,200,True,823,9,True,12/01/2026 08:23:10 Chile
553,Bases Notebooks,/computadores-y-tablets/accesorios-notebooks/bases-notebooks,https://www.pcfactory.cl/categoria/computadores-y-tablets/accesorios-notebooks/bases-notebooks,200,True,513,9,True,12/01/2026 08:23:10 Chile
714,Baterías de Notebooks,/accesorios-y-perifericos/accesorios-notebooks/baterias-de-notebooks,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-notebooks/baterias-de-notebooks,200,True,638,3,True,12/01/2026 08:23:10 Chile
714,Baterías de Notebooks,/computadores-y-tablets/accesorios-notebooks/baterias-de-notebooks,https://www.pcfactory.cl/categoria/computadores-y-tablets/accesorios-notebooks/baterias-de-notebooks,200,True,909,3,True,12/01/2026 08:23:10 Chile
542,Baterías externas,/oficinas-y-punto-de-venta/ups-baterias-y-cargadores/baterias-externas,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/ups-baterias-y-cargadores/baterias-externas,200,True,671,21,True,12/01/2026 08:23:10 Chile
542,Baterías externas,/accesorios-y-perifericos/accesorios-celulares/baterias-externas,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/accesorios-celulares/baterias-externas,200,True,974,21,True,12/01/2026 08:23:10 Chile
542,Baterías externas,/ups-energia-y-energia-solar/baterias-externas,https://www.pcfactory.cl/categoria/ups-energia-y-energia-solar/baterias-externas,200,True,672,21,True,12/01/2026 08:23:10 Chile
542,Baterías externas,/smartphones-y-wearables/accesorios-celulares/baterias-externas,https://www.pcfactory.cl/categoria/smartphones-y-wearables/accesorios-celulares/baterias-externas,200,True,658,21,True,12/01/2026 08:23:10 Chile
541,Baterías y Cargadores,/oficinas-y-punto-de-venta/ups-baterias-y-cargadores/baterias-y-cargadores,https://www.pcfactory.cl/categoria/oficinas-y-punto-de-venta/ups-baterias-y-cargadores/baterias-y-cargadores,200,True,792,11,True,12/01/2026 08:23:10 Chile
541,Baterías y Cargadores,/ups-energia-y-energia-solar/baterias-y-cargadores,https://www.pcfactory.cl/categoria/ups-energia-y-energia-solar/baterias-y-cargadores,200,True,999,11,True,12/01/2026 08:23:10 Chile
563,Bolsos Cámaras,/video-fotografia-y-drones/accesorios-camaras/bolsos-camaras,https://www.pcfactory.cl/categoria/video-fotografia-y-drones/accesorios-camaras/bolsos-camaras,200,True,786,1,True,12/01/2026 08:23:10 Chile
563,Bolsos Cámaras,/accesorios-y-perifericos/bolsos-y-fundas/bolsos-camaras,https://www.pcfactory.cl/categoria/accesorios-y-perifericos/bolsos-y-fundas/bolsos-camaras,200,True,548,1,True,12/01/2026 08:23:10 Chile
